Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
China,5220030,5199150,5185330,5161330,5164330,5174330,5141330,5145680,5145490,5145530,5145500
United States,4143990,4149440,4130640,4139250,4115210,4117840,4092148.125,4128575.938,4133125.938,4099606.875,4084261.875
Japan,52580,47930,47630,47360,47140,46920,46710,46500,46280,46090,45930
Australia,4555000,4557000,4470000,4395000,4401100,4451490,4349250,4254490,4172880,4090290,3985800
